[0.0016 0.0021 0.0016 0.0021 0.0026 0.0021 0.0016 0.0021 0.0016 0.0016],[0.1013 0.1013 0.1019 0.1024 0.1008 0.1019 0.1019 0.1019 0.1019 0.1019],[0.2006 0.2006 0.2011 0.2006 0.2011 0.2006 0.2011 0.2011 0.2006 0.2011],[0.2988 0.2983 0.2988 0.2988 0.2983 0.2988 0.2983 0.2983 0.2988 0.2988],[0.397  0.3975 0.397  0.397  0.397  0.397  0.397  0.397  0.3975 0.3975],[0.4978 0.4973 0.4973 0.4983 0.4983 0.4978 0.4968 0.4978 0.4978 0.4983],[0.5981 0.5992 0.5981 0.5986 0.5986 0.5981 0.5986 0.5986 0.5986 0.5981],[0.6979 0.6974 0.6974 0.6979 0.6974 0.6979 0.6974 0.6974 0.6974 0.6979],[0.7982 0.7982 0.7982 0.7982 0.7987 0.7977 0.7987 0.7982 0.7982 0.7982],[0.898  0.8985 0.898  0.898  0.898  0.898  0.898  0.898  0.898  0.898 ],[0.9972 0.9972 0.9977 0.9972 0.9977 0.9972 0.9967 0.9972 0.9977 0.9977],[1.0965 1.097  1.0965 1.0965 1.0965 1.097  1.0965 1.0965 1.0965 1.0965],[1.1978 1.1983 1.1983 1.1988 1.1983 1.1983 1.1983 1.1983 1.1983 1.1978],[1.2976 1.2976 1.297  1.297  1.297  1.297  1.297  1.297  1.297  1.2976],[1.3921 1.3926 1.3921 1.3926 1.3926 1.3932 1.3926 1.3932 1.3932 1.3921],[1.4945 1.494  1.4945 1.4945 1.4945 1.4935 1.494  1.494  1.4945 1.4945],[1.5948 1.5948 1.5943 1.5943 1.5948 1.5943 1.5943 1.5948 1.5943 1.5948],[1.6956 1.6951 1.6956 1.6951 1.6951 1.6951 1.6951 1.6951 1.6956 1.6951],[1.7938 1.7943 1.7938 1.7943 1.7943 1.7938 1.7938 1.7943 1.7938 1.7938],[1.8915 1.8915 1.8915 1.8915 1.891  1.891  1.891  1.8915 1.8915 1.8915],[1.9918 1.9913 1.9918 1.9918 1.9918 1.9918 1.9918 1.9918 1.9913 1.9918],[2.0837 2.0832 2.0837 2.0837 2.0832 2.0837 2.0837 2.0837 2.0837 2.0832],[2.1762 2.1762 2.1762 2.1757 2.1762 2.1757 2.1767 2.1762 2.1757 2.1762],[2.2692 2.2692 2.2697 2.2692 2.2697 2.2697 2.2692 2.2692 2.2702 2.2697],[2.3616 2.3616 2.3616 2.3622 2.3616 2.3616 2.3616 2.3616 2.3611 2.3622],[2.4541 2.4536 2.4536 2.4536 2.4541 2.4546 2.4541 2.4541 2.4541 2.4541],[2.5429 2.5429 2.5429 2.5429 2.5429 2.5429 2.5434 2.5434 2.5434 2.5429],[2.6354 2.6354 2.6354 2.6354 2.6348 2.6354 2.6354 2.6354 2.6359 2.6348],[2.7263 2.7257 2.7263 2.7257 2.7263 2.7263 2.7263 2.7263 2.7263 2.7263],[2.8208 2.8208 2.8208 2.8208 2.8213 2.8208 2.8208 2.8203 2.8203 2.8208]
|[5.0e-05 1.0e-04 1.0e-04 0.0e+00 1.5e-04 1.0e-04 0.0e+00 1.0e-04 5.0e-05
 5.0e-05]|,[1.e-04 5.e-05 5.e-05 0.e+00 5.e-05 5.e-05 5.e-05 1.e-04 1.e-04 1.e-04],|[0.0e+00 5.0e-05 2.6e-04 0.0e+00 5.0e-05 5.0e-05 5.0e-05 1.0e-04 0.0e+00
 0.0e+00]|,[1.e-04 1.e-04 0.e+00 5.e-05 0.e+00 0.e+00 1.e-04 1.e-04 0.e+00 1.e-04],|[0.0e+00 0.0e+00 1.0e-04 5.0e-05 1.0e-04 1.0e-04 5.0e-05 1.0e-04 1.5e-04
 0.0e+00]|,|[ 5.0e-05  5.0e-05  5.0e-05  1.5e-04  5.0e-05  5.0e-05  5.0e-05 -1.0e-04
  1.0e-04  0.0e+00]|,[1.e-04 1.e-04 1.e-04 1.e-04 5.e-05 5.e-05 5.e-05 1.e-04 1.e-04 5.e-05],|[ 0.0e+00  0.0e+00  0.0e+00  5.0e-05  1.5e-04  1.5e-04  5.0e-05 -5.0e-05
  5.0e-05  1.0e-04]|,|[ 0.0e+00  5.0e-05  1.0e-04  1.5e-04  1.0e-04  5.0e-05  5.0e-05  1.0e-04
  0.0e+00 -5.0e-05]|,|[ 5.0e-05 -5.0e-05  5.0e-05  1.5e-04  5.0e-05  5.0e-05  0.0e+00  0.0e+00
  5.0e-05  0.0e+00]|,|[5.0e-05 5.0e-05 5.0e-05 5.0e-05 1.0e-04 1.0e-04 5.0e-05 0.0e+00 1.5e-04
 0.0e+00]|,[1.e-04 1.e-04 1.e-04 5.e-05 5.e-05 1.e-04 0.e+00 0.e+00 1.e-04 5.e-05],|[ 1.5e-04  0.0e+00  1.0e-04  1.5e-04 -2.1e-04  5.0e-05  5.0e-05  5.0e-05
  0.0e+00  5.0e-05]|,|[0.0e+00 1.0e-04 5.0e-05 5.0e-05 1.5e-04 1.0e-04 1.0e-04 5.0e-05 5.0e-05
 1.0e-04]|,|[5.0e-05 1.5e-04 1.0e-04 1.0e-04 1.5e-04 5.0e-05 1.0e-04 1.5e-04 1.0e-04
 5.0e-05]|,|[ 0.0e+00 -1.0e-04  1.5e-04 -5.0e-05  5.0e-05  5.0e-05  5.0e-05  5.0e-05
  0.0e+00  5.0e-05]|,|[ 5.0e-05  5.0e-05  5.0e-05 -5.0e-05  1.5e-04  5.0e-05  5.0e-05  1.5e-04
  5.0e-05  1.0e-04]|,|[1.0e-04 1.5e-04 2.1e-04 5.0e-05 1.5e-04 5.0e-05 1.5e-04 0.0e+00 5.0e-05
 0.0e+00]|,|[0.00051 0.00046 0.00036 0.00051 0.00051 0.00046 0.00046 0.00046 0.00046
 0.00051]|,|[0.00252 0.00196 0.00237 0.00257 0.00237 0.00242 0.00242 0.00252 0.00237
 0.00242]|,|[0.00648 0.00638 0.00648 0.00654 0.00654 0.00659 0.00643 0.00643 0.00659
 0.00654]|,|[0.01117 0.01117 0.01096 0.01107 0.01112 0.01117 0.01112 0.01096 0.01122
 0.01112]|,|[0.01611 0.01611 0.01611 0.01606 0.01616 0.01606 0.01595 0.01611 0.01611
 0.01611]|,|[0.02126 0.02131 0.02131 0.02126 0.02136 0.02126 0.02126 0.02126 0.02126
 0.0212 ]|,|[0.02645 0.0265  0.02645 0.0264  0.02656 0.0265  0.02645 0.02645 0.02645
 0.0264 ]|,|[0.03175 0.0317  0.0317  0.03175 0.03165 0.03175 0.0317  0.03181 0.03181
 0.03191]|,|[0.03695 0.03685 0.03675 0.0369  0.03675 0.0368  0.03685 0.0369  0.0368
 0.03685]|,|[0.04205 0.0422  0.04205 0.0421  0.0421  0.04205 0.04215 0.04205 0.0422
 0.042  ]|,|[0.04719 0.04714 0.0473  0.04714 0.04725 0.0473  0.04714 0.04719 0.04719
 0.04714]|,|[0.05244 0.05249 0.05244 0.05244 0.05239 0.05244 0.05244 0.05244 0.05244
 0.05239]|
